#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
1,"MACHACEK, SPENCER",Winnipeg,13,97:35,2,7,4,9,12,16,24,16.67,1.23,4.30,2.46,5.53,7.38,9.84,14.76,20.0,70.0,90.0
2,"CROSBY, SIDNEY",Pittsburgh,22,406:23,8,29,16,37,75,97,126,10.67,1.18,4.28,2.36,5.46,11.07,14.32,18.60,17.4,63.0,80.4
3,"MALKIN, EVGENI",Pittsburgh,75,1575:04,50,59,46,109,339,456,611,14.75,1.90,2.25,1.75,4.15,12.91,17.37,23.28,37.9,44.7,82.6
4,"MAXWELL, BEN",Winnipeg,15,101:00,1,5,4,6,10,11,15,10.00,0.59,2.97,2.38,3.56,5.94,6.53,8.91,16.7,83.3,100.0
5,"FOLIGNO, MARCUS",Buffalo,14,221:25,6,7,1,13,23,36,43,26.09,1.63,1.90,0.27,3.52,6.23,9.76,11.65,28.6,33.3,61.9
6,"GIROUX, CLAUDE",Philadelphia,77,1657:48,28,65,37,93,242,338,456,11.57,1.01,2.35,1.34,3.37,8.76,12.23,16.50,25.2,58.6,83.8
7,"EBERLE, JORDAN",Edmonton,78,1372:35,34,42,27,76,180,240,314,18.89,1.49,1.84,1.18,3.32,7.87,10.49,13.73,34.3,42.4,76.8
8,"BACKSTROM, NICKLAS",Washington,42,804:54,14,30,17,44,95,131,161,14.74,1.04,2.24,1.27,3.28,7.08,9.77,12.00,25.9,55.6,81.5
9,"LUPUL, JOFFREY",Toronto,66,1228:19,25,42,27,67,191,259,342,13.09,1.22,2.05,1.32,3.27,9.33,12.65,16.71,27.8,46.7,74.4
10,"BAERTSCHI, SVEN",Calgary,5,55:41,3,0,0,3,10,11,14,30.00,3.23,0.00,0.00,3.23,10.78,11.85,15.09,100.0,0.0,100.0
11,"STAMKOS, STEVEN",Tampa Bay,82,1803:06,60,37,25,97,303,412,540,19.80,2.00,1.23,0.83,3.23,10.08,13.71,17.97,47.2,29.1,76.4
12,"NEAL, JAMES",Pittsburgh,80,1528:11,40,41,21,81,329,452,599,12.16,1.57,1.61,0.82,3.18,12.92,17.75,23.52,33.6,34.5,68.1
13,"SPEZZA, JASON",Ottawa,80,1593:43,34,50,28,84,232,343,453,14.66,1.28,1.88,1.05,3.16,8.73,12.91,17.05,28.8,42.4,71.2
14,"SEDIN, HENRIK",Vancouver,82,1565:13,14,67,44,81,113,156,209,12.39,0.54,2.57,1.69,3.10,4.33,5.98,8.01,13.0,62.0,75.0
15,"PURCELL, TEDDY",Tampa Bay,81,1306:42,24,42,28,66,152,208,272,15.79,1.10,1.93,1.29,3.03,6.98,9.55,12.49,25.8,45.2,71.0
16,"WHITNEY, RAY",Arizona,82,1528:53,24,53,36,77,185,255,343,12.97,0.94,2.08,1.41,3.02,7.26,10.01,13.46,25.0,55.2,80.2
17,"SEDIN, DANIEL",Vancouver,72,1354:41,30,37,22,67,229,326,413,13.10,1.33,1.64,0.97,2.97,10.14,14.44,18.29,32.6,40.2,72.8
18,"KESSEL, PHIL",Toronto,82,1644:31,36,45,26,81,294,390,537,12.24,1.31,1.64,0.95,2.96,10.73,14.23,19.59,34.0,42.5,76.4
19,"BENN, JAMIE",Dallas,71,1283:19,26,37,16,63,203,284,366,12.81,1.22,1.73,0.75,2.95,9.49,13.28,17.11,34.2,48.7,82.9
20,"DATSYUK, PAVEL",Detroit,70,1369:48,19,48,28,67,164,231,300,11.59,0.83,2.10,1.23,2.93,7.18,10.12,13.14,22.9,57.8,80.7
21,"SEGUIN, TYLER",Boston,81,1372:04,29,38,21,67,242,331,429,11.98,1.27,1.66,0.92,2.93,10.58,14.47,18.76,30.2,39.6,69.8
22,"ELIAS, PATRIK",New Jersey,81,1606:46,26,52,32,78,163,216,279,15.95,0.97,1.94,1.19,2.91,6.09,8.07,10.42,27.7,55.3,83.0
23,"TAVARES, JOHN",NY Islanders,82,1686:37,31,50,36,81,286,366,464,10.84,1.10,1.78,1.28,2.88,10.17,13.02,16.51,28.7,46.3,75.0
24,"HALL, TAYLOR",Edmonton,61,1111:20,27,26,15,53,206,275,358,13.11,1.46,1.40,0.81,2.86,11.12,14.85,19.33,37.0,35.6,72.6
25,"NUGENT-HOPKINS, RYAN",Edmonton,62,1091:33,18,34,19,52,134,186,249,13.43,0.99,1.87,1.04,2.86,7.37,10.22,13.69,24.7,46.6,71.2
26,"HOSSA, MARIAN",Chicago,81,1617:08,29,48,32,77,248,326,437,11.69,1.08,1.78,1.19,2.86,9.20,12.10,16.21,31.2,51.6,82.8
27,"MCDONALD, ANDY",St. Louis,25,463:08,10,12,5,22,64,85,108,15.62,1.30,1.55,0.65,2.85,8.29,11.01,13.99,35.7,42.9,78.6
28,"GABORIK, MARIAN",NY Rangers,82,1600:04,41,35,23,76,275,363,447,14.91,1.54,1.31,0.86,2.85,10.31,13.61,16.76,41.8,35.7,77.6
29,"SHARP, PATRICK",Chicago,74,1472:33,33,36,19,69,281,367,482,11.74,1.34,1.47,0.77,2.81,11.45,14.95,19.64,34.0,37.1,71.1
30,"VANEK, THOMAS",Buffalo,78,1319:57,26,35,22,61,204,259,328,12.75,1.18,1.59,1.00,2.77,9.27,11.77,14.91,29.9,40.2,70.1
31,"HARTNELL, SCOTT",Philadelphia,82,1457:10,37,30,17,67,232,315,374,15.95,1.52,1.24,0.70,2.76,9.55,12.97,15.40,35.2,28.6,63.8
