#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
1,"FORSBERG, PETER",Colorado,9,173:12,1,13,8,14,15,17,21,6.67,0.35,4.50,2.77,4.85,5.20,5.89,7.27,6.2,81.2,87.5
2,"CROSBY, SIDNEY",Pittsburgh,53,1104:47,24,48,33,72,172,232,279,13.95,1.30,2.61,1.79,3.91,9.34,12.60,15.15,27.0,53.9,80.9
3,"MALKIN, EVGENI",Pittsburgh,82,1747:53,47,59,38,106,272,358,455,17.28,1.61,2.03,1.30,3.64,9.34,12.29,15.62,34.6,43.4,77.9
4,"OVECHKIN, ALEX",Washington,81,1870:12,64,47,36,111,440,639,897,14.55,2.05,1.51,1.16,3.56,14.12,20.50,28.78,43.2,31.8,75.0
5,"RIBEIRO, MIKE",Dallas,76,1399:17,27,56,33,83,107,141,179,25.23,1.16,2.40,1.42,3.56,4.59,6.05,7.68,25.7,53.3,79.0
6,"SPEZZA, JASON",Ottawa,76,1568:27,34,58,36,92,210,295,368,16.19,1.30,2.22,1.38,3.52,8.03,11.29,14.08,26.4,45.0,71.3
7,"ALFREDSSON, DANIEL",Ottawa,70,1555:55,39,49,28,88,215,285,366,18.14,1.50,1.89,1.08,3.39,8.29,10.99,14.11,34.8,43.8,78.6
8,"DATSYUK, PAVEL",Detroit,82,1752:03,31,67,44,98,263,360,437,11.79,1.06,2.29,1.51,3.36,9.01,12.33,14.97,21.8,47.2,69.0
9,"IGINLA, JAROME",Calgary,82,1757:32,50,48,28,98,338,455,560,14.79,1.71,1.64,0.96,3.35,11.54,15.53,19.12,36.8,35.3,72.1
10,"GABORIK, MARIAN",Minnesota,76,1491:23,42,41,29,83,276,373,446,15.22,1.69,1.65,1.17,3.34,11.10,15.01,17.94,40.0,39.0,79.0
11,"ZETTERBERG, HENRIK",Detroit,75,1655:14,43,48,27,91,358,469,565,12.01,1.56,1.74,0.98,3.30,12.98,17.00,20.48,34.1,38.1,72.2
12,"GETZLAF, RYAN",Anaheim,77,1513:32,24,59,31,83,185,255,302,12.97,0.95,2.34,1.23,3.29,7.33,10.11,11.97,20.5,50.4,70.9
13,"THORNTON, JOE",San Jose,82,1750:58,29,67,40,96,178,231,308,16.29,0.99,2.30,1.37,3.29,6.10,7.92,10.55,24.4,56.3,80.7
14,"HEATLEY, DANY",Ottawa,71,1539:30,41,41,22,82,224,308,400,18.30,1.60,1.60,0.86,3.20,8.73,12.00,15.59,31.8,31.8,63.6
