#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
1,"SEDIN, DANIEL",Vancouver,63,1203:48,29,56,35,85,225,324,396,12.89,1.45,2.79,1.74,4.24,11.21,16.15,19.74,26.9,51.9,78.7
2,"SEDIN, HENRIK",Vancouver,82,1612:37,29,83,46,112,166,208,262,17.47,1.08,3.09,1.71,4.17,6.18,7.74,9.75,21.6,61.9,83.6
3,"OVECHKIN, ALEX",Washington,72,1569:25,49,59,37,108,367,539,821,13.35,1.87,2.26,1.41,4.13,14.03,20.61,31.39,33.3,40.1,73.5
4,"AUCOIN, KEITH",Washington,9,79:11,1,4,1,5,4,5,8,25.00,0.76,3.03,0.76,3.79,3.03,3.79,6.06,16.7,66.7,83.3
5,"CROSBY, SIDNEY",Pittsburgh,81,1778:11,51,58,36,109,298,401,498,17.11,1.72,1.96,1.21,3.68,10.06,13.53,16.80,37.0,42.0,79.0
6,"BACKSTROM, NICKLAS",Washington,82,1676:35,33,68,42,101,222,299,364,14.86,1.18,2.43,1.50,3.61,7.94,10.70,13.03,22.0,45.3,67.3
7,"SEMIN, ALEXANDER",Washington,73,1396:00,40,44,26,84,277,385,538,14.44,1.72,1.89,1.12,3.61,11.91,16.55,23.12,32.3,35.5,67.7
8,"ENNIS, TYLER",Buffalo,10,153:23,3,6,3,9,23,29,36,13.04,1.17,2.35,1.17,3.52,9.00,11.34,14.08,23.1,46.2,69.2
9,"THORNTON, JOE",San Jose,79,1568:36,19,69,43,88,140,184,232,13.57,0.73,2.64,1.64,3.37,5.36,7.04,8.87,16.7,60.5,77.2
10,"KANE, PATRICK",Chicago,82,1574:23,30,58,33,88,260,366,473,11.54,1.14,2.21,1.26,3.35,9.91,13.95,18.03,28.3,54.7,83.0
11,"HEMSKY, ALES",Edmonton,22,394:36,7,15,10,22,57,75,97,12.28,1.06,2.28,1.52,3.35,8.67,11.40,14.75,24.1,51.7,75.9
12,"STAMKOS, STEVEN",Tampa Bay,81,1664:08,49,43,26,92,291,413,527,16.84,1.77,1.55,0.94,3.32,10.49,14.89,19.00,40.2,35.2,75.4
13,"RICHARDS, BRAD",Dallas,79,1650:23,24,67,43,91,284,426,571,8.45,0.87,2.44,1.56,3.31,10.32,15.49,20.76,20.0,55.8,75.8
14,"MALKIN, EVGENI",Pittsburgh,67,1396:45,28,49,32,77,268,367,463,10.45,1.20,2.10,1.37,3.31,11.51,15.77,19.89,27.2,47.6,74.8
15,"GABORIK, MARIAN",NY Rangers,76,1613:39,42,44,31,86,272,383,478,15.44,1.56,1.64,1.15,3.20,10.11,14.24,17.77,38.2,40.0,78.2
16,"ST._LOUIS, MARTIN",Tampa Bay,81,1769:17,29,63,32,92,241,341,405,12.03,0.98,2.14,1.09,3.12,8.17,11.56,13.73,25.0,54.3,79.3
17,"SELANNE, TEEMU",Anaheim,54,935:18,27,21,18,48,173,232,269,15.61,1.73,1.35,1.15,3.08,11.10,14.88,17.26,40.9,31.8,72.7
