#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
1,"CROSBY, SIDNEY",Pittsburgh,36,759:45,15,41,29,56,124,168,203,12.10,1.18,3.24,2.29,4.42,9.79,13.27,16.03,20.5,56.2,76.7
2,"CHIASSON, ALEX",Dallas,7,98:34,6,1,1,7,13,16,20,46.15,3.65,0.61,0.61,4.26,7.91,9.74,12.17,85.7,14.3,100.0
3,"LUPUL, JOFFREY",Toronto,16,257:58,11,7,5,18,42,55,67,26.19,2.56,1.63,1.16,4.19,9.77,12.79,15.58,40.7,25.9,66.7
4,"HALL, TAYLOR",Edmonton,45,837:55,16,34,25,50,153,202,257,10.46,1.15,2.43,1.79,3.58,10.96,14.46,18.40,28.1,59.6,87.7
5,"VANEK, THOMAS",Buffalo,38,699:25,20,21,14,41,119,158,200,16.81,1.72,1.80,1.20,3.52,10.21,13.55,17.16,38.5,40.4,78.8
6,"KANE, PATRICK",Chicago,47,942:38,23,32,24,55,138,185,237,16.67,1.46,2.04,1.53,3.50,8.78,11.78,15.09,34.8,48.5,83.3
7,"KUNITZ, CHRIS",Pittsburgh,48,865:03,21,29,17,50,112,155,195,18.75,1.46,2.01,1.18,3.47,7.77,10.75,13.53,25.9,35.8,61.7
8,"RIBEIRO, MIKE",Washington,48,856:00,13,36,20,49,63,85,99,20.63,0.91,2.52,1.40,3.43,4.42,5.96,6.94,19.1,52.9,72.1
9,"KADRI, NAZEM",Toronto,48,770:30,18,26,21,44,107,162,206,16.82,1.40,2.02,1.64,3.43,8.33,12.62,16.04,34.0,49.1,83.0
10,"ST._LOUIS, MARTIN",Tampa Bay,48,1055:12,17,43,17,60,112,152,192,15.18,0.97,2.44,0.97,3.41,6.37,8.64,10.92,22.4,56.6,78.9
11,"OVECHKIN, ALEX",Washington,48,1002:27,32,24,13,56,220,318,441,14.55,1.92,1.44,0.78,3.35,13.17,19.03,26.40,39.5,29.6,69.1
12,"VORACEK, JAKUB",Philadelphia,48,825:45,22,24,13,46,129,165,216,17.05,1.60,1.74,0.94,3.34,9.37,11.99,15.69,34.4,37.5,71.9
13,"GETZLAF, RYAN",Anaheim,44,888:31,15,34,25,49,99,140,180,15.15,1.01,2.30,1.69,3.31,6.69,9.45,12.16,23.8,54.0,77.8
14,"KESSEL, PHIL",Toronto,48,951:06,20,32,23,52,161,226,313,12.42,1.26,2.02,1.45,3.28,10.16,14.26,19.75,30.8,49.2,80.0
15,"STAMKOS, STEVEN",Tampa Bay,48,1057:06,29,28,17,57,157,225,287,18.47,1.65,1.59,0.96,3.24,8.91,12.77,16.29,39.7,38.4,78.1
16,"PACIORETTY, MAX",Montreal,44,726:25,15,24,13,39,163,220,277,9.20,1.24,1.98,1.07,3.22,13.46,18.17,22.88,28.8,46.2,75.0
17,"TOEWS, JONATHAN",Chicago,47,909:05,23,25,13,48,143,179,224,16.08,1.52,1.65,0.86,3.17,9.44,11.81,14.78,34.8,37.9,72.7
18,"STAAL, ERIC",Carolina,48,1007:56,18,35,23,53,151,204,269,11.92,1.07,2.08,1.37,3.15,8.99,12.14,16.01,25.7,50.0,75.7
19,"MALKIN, EVGENI",Pittsburgh,31,609:52,9,23,13,32,99,145,193,9.09,0.89,2.26,1.28,3.15,9.74,14.27,18.99,18.0,46.0,64.0
20,"SPEZZA, JASON",Ottawa,5,95:53,2,3,2,5,12,16,23,16.67,1.25,1.88,1.25,3.13,7.51,10.01,14.39,33.3,50.0,83.3
21,"DATSYUK, PAVEL",Detroit,47,948:31,15,34,19,49,107,161,217,14.02,0.95,2.15,1.20,3.10,6.77,10.18,13.73,21.7,49.3,71.0
22,"NEAL, JAMES",Pittsburgh,40,698:02,21,15,9,36,136,175,249,15.44,1.81,1.29,0.77,3.09,11.69,15.04,21.40,40.4,28.8,69.2
23,"ZETTERBERG, HENRIK",Detroit,46,944:03,11,37,19,48,173,223,278,6.36,0.70,2.35,1.21,3.05,11.00,14.17,17.67,18.0,60.7,78.7
24,"BACKSTROM, NICKLAS",Washington,48,955:14,8,40,17,48,82,118,156,9.76,0.50,2.51,1.07,3.02,5.15,7.41,9.80,11.4,57.1,68.6
25,"MOULSON, MATT",NY Islanders,47,900:19,15,29,20,44,154,198,256,9.74,1.00,1.93,1.33,2.93,10.26,13.20,17.06,27.3,52.7,80.0
