#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
453,"MCLEAN, BRETT",Florida,80,994:06,7,12,6,19,114,148,193,6.14,0.42,0.72,0.36,1.15,6.88,8.93,11.65,24.1,41.4,65.5
454,"MCCLEMENT, JAY",St. Louis,82,1361:27,12,14,7,26,137,201,237,8.76,0.53,0.62,0.31,1.15,6.04,8.86,10.44,38.7,45.2,83.9
455,"THORBURN, CHRIS",Winnipeg,82,786:26,7,8,4,15,85,107,131,8.24,0.53,0.61,0.31,1.14,6.49,8.16,9.99,31.8,36.4,68.2
456,"PREISSING, TOM",Los Angeles,22,368:28,3,4,0,7,40,59,80,7.50,0.49,0.65,0.00,1.14,6.51,9.61,13.03,18.8,25.0,43.8
457,"BOUWMEESTER, JAY",Florida,82,2213:01,15,27,14,42,182,255,361,8.24,0.41,0.73,0.38,1.14,4.93,6.91,9.79,14.3,25.7,40.0
458,"KABERLE, FRANTISEK",Carolina,30,421:41,1,7,3,8,28,48,74,3.57,0.14,1.00,0.43,1.14,3.98,6.83,10.53,7.1,50.0,57.1
459,"SOBOTKA, VLADIMIR",Boston,25,263:42,1,4,3,5,19,27,40,5.26,0.23,0.91,0.68,1.14,4.32,6.14,9.10,12.5,50.0,62.5
460,"ARMSTRONG, DEREK",Los Angeles,56,475:07,5,4,2,9,42,54,65,11.90,0.63,0.51,0.25,1.14,5.30,6.82,8.21,45.5,36.4,81.8
461,"BISSONNETTE, PAUL",Pittsburgh,15,52:51,0,1,0,1,4,5,5,0.00,0.00,1.14,0.00,1.14,4.54,5.68,5.68,0.0,100.0,100.0
462,"GILLIES, COLTON",Minnesota,45,370:11,2,5,3,7,22,36,49,9.09,0.32,0.81,0.49,1.13,3.57,5.83,7.94,20.0,50.0,70.0
463,"GUITE, BEN",Colorado,50,635:58,5,7,3,12,63,85,107,7.94,0.47,0.66,0.28,1.13,5.94,8.02,10.09,26.3,36.8,63.2
464,"KORPIKOSKI, LAURI",NY Rangers,68,742:09,6,8,7,14,62,83,105,9.68,0.49,0.65,0.57,1.13,5.01,6.71,8.49,30.0,40.0,70.0
465,"PITKANEN, JONI",Carolina,71,1760:52,7,26,17,33,147,227,321,4.76,0.24,0.89,0.58,1.12,5.01,7.73,10.94,7.1,26.5,33.7
466,"BOYNTON, NICK",Florida,68,1128:41,5,16,8,21,104,147,229,4.81,0.27,0.85,0.43,1.12,5.53,7.81,12.17,9.6,30.8,40.4
467,"HAMRLIK, ROMAN",Montreal,81,1774:20,6,27,16,33,143,187,264,4.20,0.20,0.91,0.54,1.12,4.84,6.32,8.93,8.0,36.0,44.0
