Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
576,Darnell Nurse,19,EDM,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,34,16:00
577,Gustav Nyquist,25,DET,C,82,27,27,54,-11,26,13,14,0,4,17,10,0,195,13.8,1366,16:39
578,Eric Nystrom,31,NSH,LW,60,7,5,12,0,15,6,0,1,1,5,0,0,60,11.7,792,13:12
579,Liam O'Brien,20,WSH,C,13,1,1,2,4,23,1,0,0,0,1,0,0,16,6.3,98,7:33
580,Shane O'Brien,31,FLA,D,9,0,1,1,-4,5,0,0,0,0,1,0,0,4,0.0,121,13:29
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
581,Eric O'Dell,24,WPG,C,11,0,1,1,0,19,0,0,0,0,1,0,0,6,0.0,82,7:26
582,Ryan O'Reilly,23,COL,C,82,17,38,55,-5,12,14,2,1,1,27,10,1,171,9.9,1617,19:43
583,Johnny Oduya,33,CHI,D,76,2,8,10,5,26,2,0,0,0,8,0,0,76,2.6,1542,20:17
584,Jordan Oesterle,22,EDM,D,6,0,1,1,-4,0,0,0,0,0,1,0,0,7,0.0,88,14:42
585,Kyle Okposo,26,NYI,RW,60,18,33,51,-8,12,12,6,0,2,21,12,0,195,9.2,1173,19:33
586,Jamie Oleksiak,22,DAL,D,36,1,7,8,0,8,1,0,0,0,7,0,0,36,2.8,482,13:24
587,Steven Oleksy,28,WSH,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,12:11
588,Dylan Olsen,24,FLA,D,44,2,6,8,-7,20,2,0,0,0,5,1,0,44,4.5,700,15:54
589,Brooks Orpik,34,WSH,D,78,0,19,19,5,66,0,0,0,0,19,0,0,66,0.0,1700,21:48
590,Colton Orr,32,TOR,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6:06
591,T.J. Oshie,28,STL,RW,72,19,36,55,17,51,16,3,0,4,26,10,0,162,11.7,1356,18:50
592,Steve Ott,32,STL,C,78,3,9,12,-8,86,3,0,0,0,9,0,0,49,6.1,907,11:38
593,Xavier Ouellet,21,DET,D,21,2,1,3,4,2,2,0,0,0,1,0,0,27,7.4,344,16:23
594,Alex Ovechkin,29,WSH,LW,81,53,28,81,10,58,28,25,0,11,19,9,0,395,13.4,1646,20:20
595,Magnus Paajarvi,23,STL,LW,10,0,1,1,-2,6,0,0,0,0,0,1,0,9,0.0,98,9:48
596,Max Pacioretty,26,MTL,LW,80,37,30,67,38,32,27,7,3,10,24,4,2,302,12.3,1552,19:24
597,Jean-Gabriel Pageau,22,OTT,C,50,10,9,19,4,9,8,0,2,2,9,0,0,97,10.3,709,14:11
598,Daniel Paille,30,BOS,LW,71,6,7,13,-9,12,5,0,1,1,6,0,1,66,9.1,817,11:31
599,Iiro Pakarinen,23,EDM,RW,17,1,2,3,-4,2,1,0,0,0,0,2,0,34,2.9,172,10:08
600,Ondrej Palat,23,TBL,LW,75,16,47,63,31,24,12,3,1,5,38,8,1,139,11.5,1307,17:26
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
601,Michael Paliotta,21,CHI,D,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,13,12:45
602,Kyle Palmieri,23,ANA,RW,57,14,15,29,-2,37,9,5,0,4,9,6,0,112,12.5,804,14:06
603,Richard Panik,23,TOR,RW,76,11,6,17,-8,49,9,2,0,1,6,0,0,87,12.6,885,11:39
604,Cedric Paquette,21,TBL,C,64,12,7,19,4,51,10,0,2,3,7,0,0,91,13.2,871,13:37
605,Adam Pardy,30,WPG,D,55,0,9,9,9,40,0,0,0,0,8,0,1,29,0.0,826,15:01
606,P.A. Parenteau,31,MTL,RW,56,8,14,22,0,30,5,3,0,1,13,1,0,97,8.2,839,14:59
607,Zach Parise,30,MIN,LW,74,33,29,62,21,41,22,11,0,3,24,5,0,259,12.7,1420,19:11
608,David Pastrnak,18,BOS,RW,46,10,17,27,12,8,8,2,0,3,16,1,0,93,10.8,643,13:58
609,Greg Pateryn,24,MTL,D,17,0,0,0,0,6,0,0,0,0,0,0,0,10,0.0,215,12:39
610,Joe Pavelski,30,SJS,C,82,37,33,70,12,29,18,19,0,5,21,12,0,261,14.2,1650,20:08
611,Tanner Pearson,22,LAK,LW,42,12,4,16,14,14,11,1,0,3,4,0,0,68,17.6,558,13:18
612,Anthony Peluso,25,WPG,RW,49,1,1,2,-3,86,1,0,0,0,1,0,0,23,4.3,288,5:53
613,Stuart Percy,21,TOR,D,9,0,3,3,-4,2,0,0,0,0,1,2,0,13,0.0,163,18:05
614,Mathieu Perreault,27,WPG,C,62,18,23,41,7,38,13,5,0,2,16,7,0,129,14.0,1008,16:15
615,David Perron,26,TOT,LW,81,17,24,41,-25,62,14,3,0,2,18,6,0,196,8.7,1404,17:20
616,Corey Perry,29,ANA,RW,67,33,22,55,13,67,29,4,0,3,19,3,0,193,17.1,1213,18:06
617,Alex Petrovic,22,FLA,D,33,0,3,3,-4,34,0,0,0,0,3,0,0,29,0.0,537,16:16
618,Jeff Petry,27,TOT,D,78,7,15,22,-28,42,6,1,0,1,11,3,1,126,5.6,1658,21:15
619,Dion Phaneuf,29,TOR,D,70,3,26,29,-11,108,1,2,0,1,12,13,1,138,2.2,1660,23:43
620,Chris Phillips,36,OTT,D,36,0,3,3,0,14,0,0,0,0,2,1,0,29,0.0,752,20:54
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
621,Alex Pietrangelo,25,STL,D,81,7,39,46,-2,28,6,1,0,2,28,11,0,195,3.6,2058,25:25
622,Steve Pinizzotto,30,EDM,RW,18,2,2,4,1,30,2,0,0,0,2,0,0,15,13.3,143,7:56
623,Brandon Pirri,23,FLA,C,49,22,2,24,6,14,15,7,0,4,2,0,0,143,15.4,724,14:46
624,Joe Piskula,30,NSH,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,,16,16:27
625,Tyler Pitlick,23,EDM,RW,17,2,0,2,-3,4,2,0,0,1,0,0,0,18,11.1,212,12:27
626,Tomas Plekanec,32,MTL,C,82,26,34,60,8,46,16,7,3,5,24,9,1,248,10.5,1571,19:09
627,Emile Poirier,20,CGY,RW,6,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,48,7:59
628,Roman Polak,28,TOR,D,56,5,4,9,-22,48,5,0,0,1,4,0,0,61,8.2,1181,21:05
629,Jason Pominville,32,MIN,RW,82,18,36,54,9,8,15,3,0,4,25,11,0,252,7.1,1499,18:17
630,Chris Porter,30,STL,LW,24,1,1,2,-3,6,1,0,0,1,1,0,0,24,4.2,229,9:33
631,Paul Postma,25,WPG,D,42,2,4,6,1,16,0,2,0,0,4,0,0,40,5.0,593,14:08
632,Corey Potter,31,CGY,D,6,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,58,9:40
633,Benoit Pouliot,28,EDM,LW,58,19,15,34,-1,28,14,4,1,3,12,3,0,105,18.1,964,16:37
634,Derrick Pouliot,21,PIT,D,34,2,5,7,-11,4,1,1,0,2,2,3,0,56,3.6,597,17:33
635,Shane Prince,22,OTT,LW,2,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,21,10:29
636,Nate Prosser,28,MIN,D,63,2,5,7,-1,32,2,0,0,1,5,0,0,38,5.3,806,12:48
637,Dalton Prout,24,CBJ,D,63,0,8,8,-14,85,0,0,0,0,8,0,0,64,0.0,1160,18:25
638,Brandon Prust,30,MTL,LW,82,4,14,18,6,134,4,0,0,0,13,0,1,78,5.1,1063,12:58
639,Matt Puempel,22,OTT,LW,13,2,1,3,6,8,2,0,0,0,1,0,0,14,14.3,104,8:02
640,Teemu Pulkkinen,23,DET,LW,31,5,3,8,5,10,4,1,0,2,2,1,0,67,7.5,356,11:29
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
641,Teddy Purcell,29,EDM,RW,82,12,22,34,-33,24,7,5,0,0,15,7,0,146,8.2,1407,17:10
642,Mark Pysyk,23,BUF,D,7,2,1,3,4,2,2,0,0,1,1,0,0,4,50.0,127,18:11
643,Kyle Quincey,29,DET,D,73,3,15,18,10,77,3,0,0,0,14,0,1,90,3.3,1422,19:29
644,Michael Raffl,26,PHI,LW,67,21,7,28,6,34,18,2,1,2,7,0,0,134,15.7,951,14:12
645,Rickard Rakell,21,ANA,C,71,9,22,31,6,10,7,2,0,1,15,7,0,105,8.6,893,12:34
646,John Ramage,23,CGY,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,18:10
647,Brendan Ranford,22,DAL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,9:19
648,Victor Rask,21,CAR,C,80,11,22,33,-14,16,9,2,0,2,13,9,0,172,6.4,1307,16:20
649,Ty Rattie,21,STL,RW,11,0,2,2,0,2,0,0,0,0,2,0,0,8,0.0,100,9:06
650,Mason Raymond,29,CGY,LW,57,12,11,23,-8,8,12,0,0,1,10,1,0,123,9.8,844,14:49
651,Matt Read,28,PHI,RW,80,8,22,30,-4,14,6,2,0,2,18,3,1,142,5.6,1405,17:34
652,Ryan Reaves,28,STL,RW,81,6,6,12,-3,116,6,0,0,1,6,0,0,55,10.9,690,8:31
653,Zach Redmond,26,COL,D,59,5,15,20,-1,24,4,1,0,1,10,5,0,93,5.4,1012,17:09
654,Dylan Reese,30,ARI,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,19:58
655,Robyn Regehr,34,LAK,D,67,3,10,13,10,45,3,0,0,0,9,0,1,63,4.8,1362,20:20
656,Peter Regin,28,CHI,C,4,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,33,8:20
657,Griffin Reinhart,21,NYI,D,8,0,1,1,1,6,0,0,0,0,1,0,0,4,0.0,113,14:10
658,Max Reinhart,22,CGY,C,4,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,32,8:05
659,Sam Reinhart,19,BUF,C,9,0,1,1,-1,2,0,0,0,0,1,0,0,3,0.0,93,10:22
660,Borna Rendulic,22,COL,RW,11,1,1,2,1,6,1,0,0,0,1,0,0,6,16.7,103,9:24
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
661,Mike Ribeiro,34,NSH,C,82,15,47,62,11,52,14,1,0,3,36,11,0,96,15.6,1537,18:45
662,Brad Richards,34,CHI,C,76,12,25,37,3,12,10,2,0,3,20,5,0,199,6.0,1131,14:53
663,Mike Richards,29,LAK,C,53,5,11,16,-10,39,4,1,0,1,9,2,0,63,7.9,708,13:22
664,Brad Richardson,29,VAN,RW,45,8,13,21,0,34,7,0,1,1,12,1,0,66,12.1,651,14:28
665,Tobias Rieder,22,ARI,RW,72,13,8,21,-19,14,10,0,3,1,6,2,0,189,6.9,1217,16:54
666,Morgan Rielly,20,TOR,D,81,8,21,29,-16,14,7,1,0,0,13,8,0,148,5.4,1647,20:20
667,Zac Rinaldo,24,PHI,C,58,1,5,6,-9,102,1,0,0,0,5,0,0,45,2.2,517,8:55
668,Rasmus Rissanen,23,CAR,D,6,0,0,0,-5,4,0,0,0,0,0,0,0,3,0.0,90,14:59
669,Rasmus Ristolainen,20,BUF,D,78,8,12,20,-32,26,4,4,0,0,7,5,0,121,6.6,1608,20:37
670,Brett Ritchie,21,DAL,RW,31,6,3,9,-1,12,6,0,0,1,2,1,0,78,7.7,434,13:59
671,Colby Robak,24,TOT,D,12,0,1,1,2,2,0,0,0,0,1,0,0,8,0.0,167,13:55
672,Stephane Robidas,37,TOR,D,52,1,6,7,8,34,1,0,0,0,5,0,1,34,2.9,888,17:04
673,Bobby Robins,33,BOS,C,3,0,0,0,0,14,0,0,0,0,0,0,0,0,,23,7:35
674,Antoine Roussel,25,DAL,LW,80,13,12,25,-20,148,13,0,0,1,9,3,0,113,11.5,1162,14:31
675,Derek Roy,31,TOT,C,72,12,20,32,-13,24,8,4,0,2,17,3,0,113,10.6,1128,15:40
676,Michal Rozsival,36,CHI,D,65,1,12,13,0,22,1,0,0,0,12,0,0,56,1.8,1106,17:01
677,Chad Ruhwedel,24,BUF,D,4,0,1,1,3,0,0,0,0,0,1,0,0,4,0.0,50,12:28
678,David Rundblad,24,CHI,D,49,3,11,14,17,12,3,0,0,1,10,1,0,58,5.2,627,12:48
679,Kris Russell,27,CGY,D,79,4,30,34,18,17,3,1,0,0,17,13,0,111,3.6,1892,23:57
680,Bryan Rust,22,PIT,RW,14,1,1,2,-3,4,1,0,0,0,1,0,0,34,2.9,168,12:02
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
681,Tuomo Ruutu,31,NJD,RW,77,7,6,13,-3,28,7,0,0,0,6,0,0,74,9.5,837,10:52
682,Bobby Ryan,27,OTT,RW,78,18,36,54,5,24,14,4,0,5,26,10,0,221,8.1,1363,17:28
683,Kerby Rychel,20,CBJ,LW,5,0,3,3,3,2,0,0,0,0,3,0,0,4,0.0,53,10:42
684,Michael Ryder,34,NJD,RW,47,6,13,19,-1,30,6,0,0,0,11,2,0,89,6.7,681,14:29
685,Brandon Saad,22,CHI,LW,82,23,29,52,7,12,21,2,0,6,21,8,0,203,11.3,1415,17:15
686,Miikka Salomaki,21,NSH,RW,1,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,11,10:49
687,Bryce Salvador,38,NJD,D,15,0,2,2,-5,20,0,0,0,0,2,0,0,13,0.0,278,18:30
688,Henrik Samuelsson,20,ARI,C,3,0,0,0,-2,2,0,0,0,0,0,0,0,4,0.0,40,13:16
689,Philip Samuelsson,23,ARI,D,4,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,68,16:53
690,Mike Santorelli,29,TOT,C,79,12,21,33,0,14,11,0,1,2,18,2,1,145,8.3,1137,14:23
691,David Savard,24,CBJ,D,82,11,25,36,0,71,8,3,0,3,18,7,0,112,9.8,1881,22:57
692,Luca Sbisa,25,VAN,D,76,3,8,11,-8,46,3,0,0,2,8,0,0,79,3.8,1427,18:47
693,Marco Scandella,24,MIN,D,64,11,12,23,8,56,10,1,0,4,7,4,1,112,9.8,1390,21:43
694,Colton Sceviour,25,DAL,C,71,9,17,26,1,13,9,0,0,2,13,4,0,113,8.0,903,12:43
695,Tim Schaller,24,BUF,C,18,1,1,2,-5,2,1,0,0,0,1,0,0,19,5.3,204,11:21
696,Mark Scheifele,21,WPG,C,82,15,34,49,11,24,12,3,0,2,24,10,0,170,8.8,1524,18:35
697,Brayden Schenn,23,PHI,C,82,18,29,47,-5,34,11,7,0,6,17,12,0,156,11.5,1401,17:05
698,Luke Schenn,25,PHI,D,58,3,11,14,-2,18,3,0,0,0,11,0,0,67,4.5,1048,18:04
699,Cameron Schilling,26,WSH,D,4,0,0,0,1,4,0,0,0,0,0,0,0,2,0.0,46,11:23
700,David Schlemko,27,TOT,D,44,1,3,4,1,12,1,0,0,0,1,2,0,45,2.2,675,15:20
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
701,Nate Schmidt,23,WSH,D,39,1,3,4,-2,10,1,0,0,0,3,0,0,40,2.5,542,13:53
702,Jordan Schroeder,24,MIN,C,25,3,5,8,9,2,3,0,0,0,5,0,0,48,6.3,271,10:51
703,Jeff Schultz,28,LAK,D,9,0,1,1,1,4,0,0,0,0,1,0,0,7,0.0,151,16:45
704,Justin Schultz,24,EDM,D,81,6,25,31,-17,12,6,0,0,1,13,12,0,122,4.9,1832,22:37
705,Nick Schultz,32,PHI,D,80,2,13,15,2,47,2,0,0,1,12,1,0,69,2.9,1524,19:03
706,Jaden Schwartz,22,STL,LW,75,28,35,63,13,16,20,8,0,4,25,8,2,184,15.2,1368,18:15
707,John Scott,32,SJS,LW,38,3,1,4,0,87,3,0,0,0,1,0,0,19,15.8,283,7:27
708,Rob Scuderi,36,PIT,D,82,1,9,10,9,17,1,0,0,0,8,0,1,52,1.9,1570,19:09
709,Brent Seabrook,29,CHI,D,82,8,23,31,-3,27,4,4,0,2,11,11,1,181,4.4,1819,22:11
710,Daniel Sedin,34,VAN,LW,82,20,56,76,5,18,16,4,0,5,35,21,0,226,8.8,1505,18:21
711,Henrik Sedin,34,VAN,C,82,18,55,73,11,22,13,5,0,0,35,20,0,101,17.8,1526,18:37
712,Tyler Seguin,23,DAL,C,71,37,40,77,-1,20,24,13,0,5,24,16,0,280,13.2,1388,19:33
713,Dennis Seidenberg,33,BOS,D,82,3,11,14,-1,34,3,0,0,0,11,0,0,103,2.9,1812,22:06
714,Jiri Sekac,22,TOT,LW,69,9,14,23,0,22,7,2,0,0,13,1,0,85,10.6,936,13:34
715,Andrej Sekera,28,TOT,D,73,3,20,23,-3,14,2,1,0,0,14,5,1,100,3.0,1605,21:59
716,Alexander Semin,30,CAR,RW,57,6,13,19,-10,32,6,0,0,0,9,4,0,93,6.5,908,15:55
717,Tim Sestito,30,NJD,LW,15,0,2,2,-1,33,0,0,0,0,2,0,0,10,0.0,148,9:53
718,Tom Sestito,27,VAN,LW,3,0,1,1,1,7,0,0,0,0,1,0,0,1,0.0,19,6:14
719,Devin Setoguchi,28,CGY,RW,12,0,0,0,-7,4,0,0,0,0,0,0,0,12,0.0,146,12:09
720,Damon Severson,20,NJD,D,51,5,12,17,-13,22,5,0,0,0,5,7,0,93,5.4,1120,21:58
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
721,Michael Sgarbossa,22,COL,C,3,0,1,1,0,10,0,0,0,0,1,0,0,2,0.0,21,7:06
722,Patrick Sharp,33,CHI,LW,68,16,27,43,-8,33,8,8,0,2,21,6,0,230,7.0,1143,16:49
723,Kevin Shattenkirk,26,STL,D,56,8,36,44,19,52,4,4,0,1,15,21,0,135,5.9,1263,22:34
724,Andrew Shaw,23,CHI,C,79,15,11,26,-8,67,10,5,0,2,10,1,0,146,10.3,1181,14:57
725,Riley Sheahan,23,DET,C,79,13,23,36,-3,16,8,5,0,0,17,6,0,123,10.6,1236,15:39
726,James Sheppard,26,TOT,C,71,7,11,18,-4,37,7,0,0,1,10,1,0,79,8.9,941,13:15
727,Brendan Shinnimin,24,ARI,C,12,0,1,1,-1,8,0,0,0,0,1,0,0,10,0.0,132,11:02
728,Drew Shore,24,CGY,C,11,1,2,3,-5,0,1,0,0,0,2,0,0,13,7.7,117,10:40
729,Nick Shore,22,LAK,C,34,1,6,7,0,10,1,0,0,0,5,1,0,33,3.0,377,11:05
730,Justin Shugg,23,CAR,RW,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,17,5:42
731,Duncan Siemens,21,COL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,14:00
732,Jakob Silfverberg,24,ANA,RW,81,13,26,39,15,24,10,2,1,2,22,2,2,189,6.9,1269,15:40
733,Zach Sill,26,TOT,C,63,1,3,4,-5,84,1,0,0,0,3,0,0,43,2.3,528,8:23
734,Wayne Simmonds,26,PHI,RW,75,28,22,50,-5,66,14,14,0,6,12,10,0,188,14.9,1261,16:48
735,Mike Sislo,27,NJD,RW,10,0,1,1,-2,2,0,0,0,0,1,0,0,13,0.0,122,12:13
736,Jack Skille,27,CBJ,RW,45,6,2,8,-18,16,6,0,0,0,2,0,0,95,6.3,564,12:31
737,Jeff Skinner,22,CAR,LW,77,18,13,31,-24,18,14,4,0,2,10,3,0,235,7.7,1236,16:03
738,Jim Slater,32,WPG,C,82,5,8,13,-4,58,5,0,0,1,7,0,1,51,9.8,755,9:13
739,Ladislav Smid,28,CGY,D,31,0,1,1,-12,13,0,0,0,0,1,0,0,21,0.0,433,13:58
740,Ben Smith,26,TOT,RW,80,7,7,14,2,2,7,0,0,1,7,0,0,92,7.6,1044,13:03
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
741,Brendan Smith,25,DET,D,76,4,9,13,-2,68,4,0,0,1,7,2,0,88,4.5,1360,17:53
742,Colin Smith,21,COL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,6,6:06
743,Craig Smith,25,NSH,C,82,23,21,44,11,44,17,6,0,4,18,3,0,251,9.2,1291,15:44
744,Reilly Smith,23,BOS,RW,81,13,27,40,7,20,12,1,0,0,17,10,0,143,9.1,1247,15:24
745,Trevor Smith,29,TOR,C,54,2,3,5,-9,12,2,0,0,0,3,0,0,46,4.3,597,11:04
746,Zack Smith,26,OTT,C,37,2,1,3,-8,18,2,0,0,0,1,0,0,38,5.3,445,12:02
747,Devante Smith-Pelly,22,TOT,RW,74,6,14,20,-1,24,5,0,1,1,12,1,1,104,5.8,1057,14:17
748,Carl Soderberg,29,BOS,C,82,13,31,44,10,26,8,5,0,3,28,3,0,163,8.0,1378,16:49
749,Nick Spaling,26,PIT,C,82,9,18,27,-2,26,8,1,0,0,18,0,0,90,10.0,1250,15:14
750,Jason Spezza,31,DAL,C,82,17,45,62,-7,28,13,4,0,1,23,22,0,204,8.3,1412,17:13
751,Ryan Spooner,23,BOS,C,29,8,10,18,2,2,5,3,0,1,8,2,0,73,11.0,422,14:32
752,Jared Spurgeon,25,MIN,D,66,9,16,25,3,6,6,3,0,2,13,3,0,128,7.0,1493,22:37
753,Frederic St. Denis,29,CBJ,D,4,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,53,13:18
754,Martin St. Louis,39,NYR,RW,74,21,31,52,12,20,16,5,0,1,23,8,0,144,14.6,1300,17:34
755,Eric Staal,30,CAR,C,77,23,31,54,-13,41,16,7,0,4,21,10,0,244,9.4,1451,18:51
756,Jordan Staal,26,CAR,C,46,6,18,24,-6,14,5,1,0,1,12,6,0,92,6.5,853,18:33
757,Marc Staal,28,NYR,D,80,5,15,20,18,42,5,0,0,0,13,0,2,97,5.2,1691,21:08
758,Drew Stafford,29,TOT,RW,76,18,25,43,-12,47,14,4,0,1,19,5,1,147,12.2,1254,16:30
759,Matt Stajan,31,CGY,C,59,7,10,17,7,28,7,0,0,0,9,0,1,46,15.2,708,11:00
760,Viktor Stalberg,29,NSH,LW,25,2,8,10,0,18,2,0,0,1,8,0,0,27,7.4,297,11:53
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
761,Steven Stamkos,24,TBL,C,82,43,29,72,2,49,30,13,0,6,17,12,0,268,16.0,1588,19:22
762,Ryan Stanton,25,VAN,D,54,3,8,11,9,35,3,0,0,0,8,0,0,59,5.1,864,16:00
763,Paul Stastny,29,STL,C,74,16,30,46,5,40,9,7,0,7,22,8,0,143,11.2,1304,17:38
764,Alex Steen,30,STL,LW,74,24,40,64,8,33,16,8,0,5,24,16,0,223,10.8,1479,19:59
765,Lee Stempniak,31,TOT,RW,71,15,13,28,8,20,15,0,0,3,12,1,0,115,13.0,903,12:43
766,Derek Stepan,24,NYR,C,68,16,39,55,26,22,11,3,2,3,29,7,3,155,10.3,1236,18:11
767,Chris Stewart,27,TOT,RW,81,14,22,36,-26,88,9,5,0,0,17,5,0,155,9.0,1286,15:53
768,Jarret Stoll,32,LAK,C,73,6,11,17,3,58,3,3,0,2,8,1,2,83,7.2,1131,15:29
769,Karl Stollery,27,TOT,D,10,0,0,0,-1,6,0,0,0,0,0,0,0,9,0.0,147,14:44
770,Mark Stone,22,OTT,RW,80,26,38,64,21,14,20,5,1,6,30,8,0,157,16.6,1362,17:01
771,Michael Stone,24,ARI,D,81,3,15,18,-24,60,3,0,0,0,10,5,0,144,2.1,1690,20:52
772,Clayton Stoner,29,ANA,D,69,1,7,8,-2,68,1,0,0,1,7,0,0,68,1.5,1217,17:39
773,Tyson Strachan,30,BUF,D,46,0,5,5,-30,44,0,0,0,0,4,0,1,38,0.0,873,18:59
774,Brian Strait,27,NYI,D,52,2,5,7,-1,32,2,0,0,0,4,0,1,59,3.4,955,18:22
775,Petr Straka,22,PHI,RW,3,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,28,9:27
776,Anton Stralman,28,TBL,D,82,9,30,39,22,26,7,2,0,0,18,12,0,138,6.5,1800,21:57
777,Ben Street,27,COL,C,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,35,11:36
778,Mark Streit,37,PHI,D,81,9,43,52,-8,36,5,4,0,0,17,26,0,144,6.3,1812,22:22
779,Ryan Strome,21,NYI,C,81,17,33,50,23,47,15,1,1,2,26,7,0,179,9.5,1247,15:24
780,Brad Stuart,35,COL,D,65,3,10,13,-4,16,3,0,0,0,9,1,0,64,4.7,1323,20:21
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
781,Mark Stuart,30,WPG,D,70,2,12,14,5,69,2,0,0,1,10,0,2,51,3.9,1345,19:13
782,P.K. Subban,25,MTL,D,82,15,45,60,21,74,7,8,0,5,32,13,0,170,8.8,2149,26:12
783,Chris Summers,26,TOT,D,20,0,3,3,-12,8,0,0,0,0,3,0,0,15,0.0,285,14:15
784,Andrej Sustr,24,TBL,D,72,0,13,13,10,34,0,0,0,0,12,1,0,55,0.0,1275,17:42
785,Ryan Suter,30,MIN,D,77,2,36,38,7,48,1,1,0,1,25,10,1,150,1.3,2238,29:04
786,Brandon Sutter,25,PIT,C,80,21,12,33,6,14,14,3,4,4,10,2,0,180,11.7,1386,17:19
787,Brett Sutter,27,MIN,C,6,0,3,3,1,4,0,0,0,0,3,0,0,6,0.0,56,9:19
788,Brody Sutter,23,CAR,C,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,,30,7:26
789,Jordan Szwarz,23,ARI,RW,9,1,0,1,-2,2,1,0,0,0,0,0,0,8,12.5,121,13:28
790,Maxime Talbot,30,TOT,C,81,5,13,18,-1,29,5,0,0,1,13,0,0,97,5.2,1102,13:37
791,Chris Tanev,25,VAN,D,70,2,18,20,8,12,2,0,0,1,16,2,0,53,3.8,1476,21:05
792,Eric Tangradi,25,MTL,LW,7,0,0,0,-3,17,0,0,0,0,0,0,0,5,0.0,54,7:44
793,Alex Tanguay,35,COL,LW,80,22,33,55,-1,40,19,2,1,4,21,12,0,104,21.2,1453,18:10
794,Vladimir Tarasenko,23,STL,RW,77,37,36,73,27,31,29,8,0,6,26,10,0,264,14.0,1357,17:37
795,Daniil Tarasov,23,SJS,RW,5,0,1,1,2,0,0,0,0,0,1,0,0,5,0.0,38,7:34
796,Tomas Tatar,24,DET,C,82,29,27,56,6,28,20,9,0,7,17,10,0,211,13.7,1330,16:13
797,John Tavares,24,NYI,C,82,38,48,86,5,46,25,13,0,8,29,18,1,278,13.7,1695,20:40
