Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
413,Duncan Keith,31,CHI,D,80,10,35,45,12,20,7,3,0,2,21,13,1,171,5.8,2045,25:34
414,Chris Kelly,34,BOS,C,80,7,21,28,6,48,6,0,1,2,20,0,1,112,6.3,1211,15:08
415,Ronalds Kenins,23,VAN,LW,30,4,8,12,-2,8,4,0,0,0,8,0,0,38,10.5,368,12:16
416,Tyler Kennedy,28,TOT,C,38,6,8,14,-2,10,6,0,0,2,8,0,0,79,7.6,424,11:10
417,Ryan Kesler,30,ANA,C,81,20,27,47,-5,75,14,5,1,4,19,6,2,205,9.8,1581,19:31
418,Phil Kessel,27,TOR,RW,82,25,36,61,-34,30,17,8,0,4,19,17,0,280,8.9,1541,18:48
419,Alexander Khokhlachev,21,BOS,C,3,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,25,8:12
420,Alex Killorn,25,TBL,C,71,15,23,38,8,36,13,1,1,5,21,2,0,130,11.5,1202,16:56
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
421,Jakub Kindl,27,DET,D,35,5,8,13,2,22,3,2,0,0,3,5,0,54,9.3,557,15:55
422,Dwight King,25,LAK,LW,81,13,13,26,-3,21,13,0,0,1,11,1,1,127,10.2,1166,14:24
423,Oscar Klefbom,21,EDM,D,60,2,18,20,-21,4,2,0,0,0,16,2,0,98,2.0,1320,21:00
424,Kevin Klein,30,NYR,D,65,9,17,26,24,25,9,0,0,4,17,0,0,76,11.8,1202,18:29
425,Carl Klingberg,24,WPG,LW,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7,3:19
426,John Klingberg,22,DAL,D,65,11,29,40,5,32,9,2,0,3,19,10,0,98,11.2,1420,21:50
427,Rob Klinkhammer,28,TOT,C,69,5,4,9,-4,27,5,0,0,0,4,0,0,64,7.8,774,11:13
