#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
1,"RYCHEL, KERBY",Columbus,5,53:28,0,3,3,3,4,7,10,0.00,0.00,3.37,3.37,3.37,4.49,7.86,11.22,0.0,100.0,100.0
2,"SEGUIN, TYLER",Dallas,71,1387:50,37,40,33,77,280,390,529,13.21,1.60,1.73,1.43,3.33,12.11,16.86,22.87,36.6,39.6,76.2
3,"CROSBY, SIDNEY",Pittsburgh,77,1536:40,28,56,31,84,237,315,380,11.81,1.09,2.19,1.21,3.28,9.25,12.30,14.84,26.7,53.3,80.0
4,"JOHNSON, TYLER",Tampa Bay,77,1327:21,29,43,30,72,202,265,342,14.36,1.31,1.94,1.36,3.25,9.13,11.98,15.46,29.3,43.4,72.7
5,"DATSYUK, PAVEL",Detroit,63,1200:14,26,39,24,65,165,223,291,15.76,1.30,1.95,1.20,3.25,8.25,11.15,14.55,29.9,44.8,74.7
6,"HUDLER, JIRI",Calgary,78,1404:44,31,45,29,76,158,223,270,19.62,1.32,1.92,1.24,3.25,6.75,9.52,11.53,30.4,44.1,74.5
7,"TARASENKO, VLADIMIR",St. Louis,77,1356:25,37,36,17,73,264,384,531,14.02,1.64,1.59,0.75,3.23,11.68,16.99,23.49,37.0,36.0,73.0
8,"SUTTER, BRETT",Minnesota,6,55:51,0,3,3,3,6,8,10,0.00,0.00,3.22,3.22,3.22,6.45,8.59,10.74,0.0,100.0,100.0
9,"MALKIN, EVGENI",Pittsburgh,69,1309:11,28,42,21,70,212,306,387,13.21,1.28,1.92,0.96,3.21,9.72,14.02,17.74,30.1,45.2,75.3
10,"BENN, JAMIE",Dallas,82,1635:29,35,52,32,87,253,356,466,13.83,1.28,1.91,1.17,3.19,9.28,13.06,17.10,29.2,43.3,72.5
11,"VORACEK, JAKUB",Philadelphia,82,1524:13,22,59,31,81,221,291,424,9.95,0.87,2.32,1.22,3.19,8.70,11.46,16.69,20.8,55.7,76.4
12,"KANE, PATRICK",Chicago,61,1211:00,27,37,25,64,186,241,323,14.52,1.34,1.83,1.24,3.17,9.22,11.94,16.00,32.1,44.0,76.2
13,"KUCHEROV, NIKITA",Tampa Bay,82,1225:56,28,36,22,64,190,259,321,14.74,1.37,1.76,1.08,3.13,9.30,12.68,15.71,26.9,34.6,61.5
14,"TAVARES, JOHN",NY Islanders,82,1695:06,38,48,30,86,278,374,471,13.67,1.35,1.70,1.06,3.04,9.84,13.24,16.67,32.2,40.7,72.9
15,"SEDIN, DANIEL",Vancouver,82,1504:15,20,56,35,76,226,300,370,8.85,0.80,2.23,1.40,3.03,9.01,11.97,14.76,20.4,57.1,77.6
