#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
1,"CROSBY, SIDNEY",Pittsburgh,41,898:37,32,34,20,66,160,218,277,20.00,2.14,2.27,1.34,4.41,10.68,14.56,18.50,41.0,43.6,84.6
2,"SEDIN, DANIEL",Vancouver,82,1521:21,41,63,34,104,265,357,451,15.47,1.62,2.48,1.34,4.10,10.45,14.08,17.79,31.5,48.5,80.0
3,"SELANNE, TEEMU",Anaheim,73,1309:32,30,49,30,79,211,275,320,14.22,1.37,2.25,1.37,3.62,9.67,12.60,14.66,31.2,51.0,82.3
4,"SEDIN, HENRIK",Vancouver,82,1579:17,18,75,45,93,156,198,256,11.54,0.68,2.85,1.71,3.53,5.93,7.52,9.73,13.6,56.8,70.5
5,"PARSE, SCOTT",Los Angeles,5,68:57,1,3,1,4,6,10,12,16.67,0.87,2.61,0.87,3.48,5.22,8.70,10.44,12.5,37.5,50.0
6,"ST._LOUIS, MARTIN",Tampa Bay,82,1720:03,31,68,47,99,254,349,450,12.20,1.08,2.37,1.64,3.45,8.86,12.17,15.70,24.6,54.0,78.6
7,"DATSYUK, PAVEL",Detroit,56,1082:04,23,36,23,59,137,191,257,16.79,1.28,2.00,1.28,3.27,7.60,10.59,14.25,30.3,47.4,77.6
8,"STAMKOS, STEVEN",Tampa Bay,82,1655:11,44,46,22,90,271,403,518,16.24,1.59,1.67,0.80,3.26,9.82,14.61,18.78,34.9,36.5,71.4
9,"PERRY, COREY",Anaheim,82,1829:40,49,48,29,97,289,391,482,16.95,1.61,1.57,0.95,3.18,9.48,12.82,15.81,37.7,36.9,74.6
10,"VANEK, THOMAS",Buffalo,80,1387:39,32,41,23,73,238,324,383,13.45,1.38,1.77,0.99,3.16,10.29,14.01,16.56,31.1,39.8,70.9
11,"GETZLAF, RYAN",Anaheim,67,1464:09,19,57,27,76,117,182,236,16.24,0.78,2.34,1.11,3.11,4.79,7.46,9.67,17.1,51.4,68.5
12,"KANE, PATRICK",Chicago,73,1407:47,27,46,24,73,216,287,378,12.50,1.15,1.96,1.02,3.11,9.21,12.23,16.11,27.6,46.9,74.5
13,"PROSPAL, VACLAV",NY Rangers,29,444:37,9,14,6,23,61,73,90,14.75,1.21,1.89,0.81,3.10,8.23,9.85,12.15,32.1,50.0,82.1
14,"ROY, DEREK",Buffalo,35,683:22,10,25,20,35,89,110,151,11.24,0.88,2.19,1.76,3.07,7.81,9.66,13.26,23.3,58.1,81.4
15,"ZETTERBERG, HENRIK",Detroit,80,1566:42,24,56,35,80,306,432,541,7.84,0.92,2.14,1.34,3.06,11.72,16.54,20.72,22.9,53.3,76.2
16,"STAFFORD, DREW",Buffalo,62,1025:21,31,21,10,52,179,217,275,17.32,1.81,1.23,0.59,3.04,10.47,12.70,16.09,41.3,28.0,69.3
17,"OVECHKIN, ALEX",Washington,78,1670:46,31,52,30,83,361,518,765,8.59,1.11,1.87,1.08,2.98,12.96,18.60,27.47,28.7,48.1,76.9
18,"IGINLA, JAROME",Calgary,82,1716:40,42,43,26,85,287,389,516,14.63,1.47,1.50,0.91,2.97,10.03,13.60,18.04,38.2,39.1,77.3
19,"SHARP, PATRICK",Chicago,74,1436:33,34,37,18,71,268,371,476,12.69,1.42,1.55,0.75,2.97,11.19,15.50,19.88,35.4,38.5,74.0
20,"RICHARDS, BRAD",Dallas,72,1563:47,28,49,32,77,272,394,548,10.29,1.07,1.88,1.23,2.95,10.44,15.12,21.03,28.3,49.5,77.8
21,"HEMSKY, ALES",Edmonton,47,856:58,14,28,21,42,100,137,183,14.00,0.98,1.96,1.47,2.94,7.00,9.59,12.81,28.6,57.1,85.7
22,"STEWART, CHRIS",St. Louis,62,1084:12,28,25,19,53,162,206,245,17.28,1.55,1.38,1.05,2.93,8.97,11.40,13.56,39.4,35.2,74.6
23,"GEOFFRION, BLAKE",Nashville,20,165:29,6,2,0,8,24,26,35,25.00,2.18,0.73,0.00,2.90,8.70,9.43,12.69,66.7,22.2,88.9
24,"BRIERE, DANIEL",Philadelphia,77,1408:53,34,34,19,68,246,307,386,13.82,1.45,1.45,0.81,2.90,10.48,13.07,16.44,35.8,35.8,71.6
25,"GIROUX, CLAUDE",Philadelphia,82,1590:41,25,51,34,76,169,233,303,14.79,0.94,1.92,1.28,2.87,6.37,8.79,11.43,25.0,51.0,76.0
26,"LUCIC, MILAN",Boston,79,1309:49,30,32,15,62,173,249,340,17.34,1.37,1.47,0.69,2.84,7.92,11.41,15.57,36.6,39.0,75.6
27,"STERLING, BRETT",Pittsburgh,7,105:50,3,2,1,5,14,18,25,21.43,1.70,1.13,0.57,2.83,7.94,10.20,14.17,37.5,25.0,62.5
28,"SEMIN, ALEXANDER",Washington,64,1157:18,28,26,17,54,195,304,433,14.36,1.45,1.35,0.88,2.80,10.11,15.76,22.45,37.8,35.1,73.0
29,"SESTITO, TOM",Columbus,9,85:45,2,2,2,4,7,15,18,28.57,1.40,1.40,1.40,2.80,4.90,10.50,12.59,50.0,50.0,100.0
30,"NASH, RICK",Columbus,75,1419:30,32,34,19,66,305,423,547,10.49,1.35,1.44,0.80,2.79,12.89,17.88,23.12,37.6,40.0,77.6
31,"SKINNER, JEFF",Carolina,81,1355:08,31,32,15,63,211,300,400,14.69,1.37,1.42,0.66,2.79,9.34,13.28,17.71,36.0,37.2,73.3
32,"CLOWE, RYANE",San Jose,75,1347:05,24,38,25,62,185,230,286,12.97,1.07,1.69,1.11,2.76,8.24,10.24,12.74,32.0,50.7,82.7
33,"TOEWS, JONATHAN",Chicago,80,1660:30,32,44,28,76,233,290,344,13.73,1.16,1.59,1.01,2.75,8.42,10.48,12.43,27.6,37.9,65.5
34,"PAVELSKI, JOE",San Jose,74,1454:22,20,46,27,66,282,364,453,7.09,0.83,1.90,1.11,2.72,11.63,15.02,18.69,20.2,46.5,66.7
35,"GRABNER, MICHAEL",NY Islanders,76,1146:19,34,18,12,52,227,282,333,14.98,1.78,0.94,0.63,2.72,11.88,14.76,17.43,53.1,28.1,81.2
36,"CARTER, JEFF",Philadelphia,80,1457:15,36,30,14,66,335,449,569,10.75,1.48,1.24,0.58,2.72,13.79,18.49,23.43,37.9,31.6,69.5
37,"WILLIAMS, JUSTIN",Los Angeles,73,1259:21,22,35,17,57,213,303,386,10.33,1.05,1.67,0.81,2.72,10.15,14.44,18.39,28.6,45.5,74.0
38,"BENN, JAMIE",Dallas,69,1241:47,22,34,18,56,176,246,325,12.50,1.06,1.64,0.87,2.71,8.50,11.89,15.70,32.8,50.7,83.6
39,"KOPITAR, ANZE",Los Angeles,75,1619:03,25,48,30,73,233,315,410,10.73,0.93,1.78,1.11,2.71,8.63,11.67,15.19,26.6,51.1,77.7
40,"TANGUAY, ALEX",Calgary,79,1561:07,22,48,33,70,119,167,203,18.49,0.85,1.84,1.27,2.69,4.57,6.42,7.80,22.0,48.0,70.0
#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,Sh%,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
41,"WHITNEY, RAY",Arizona,75,1271:36,17,40,27,57,156,222,283,10.90,0.80,1.89,1.27,2.69,7.36,10.47,13.35,20.7,48.8,69.5
42,"JOHNSON, NICK",Pittsburgh,4,66:57,1,2,1,3,10,13,14,10.00,0.90,1.79,0.90,2.69,8.96,11.65,12.55,25.0,50.0,75.0
43,"SPEZZA, JASON",Ottawa,62,1252:20,20,36,25,56,187,267,344,10.70,0.96,1.72,1.20,2.68,8.96,12.79,16.48,25.3,45.6,70.9
44,"PURCELL, TEDDY",Tampa Bay,81,1142:15,17,34,17,51,196,246,316,8.67,0.89,1.79,0.89,2.68,10.30,12.92,16.60,20.7,41.5,62.2
45,"ERIKSSON, LOUI",Dallas,79,1624:57,26,46,27,72,177,242,283,14.69,0.96,1.70,1.00,2.66,6.54,8.94,10.45,27.7,48.9,76.6
46,"LECAVALIER, VINCENT",Tampa Bay,65,1198:54,24,29,20,53,207,272,345,11.59,1.20,1.45,1.00,2.65,10.36,13.61,17.27,32.4,39.2,71.6
47,"DUCHENE, MATT",Colorado,80,1515:35,27,40,23,67,202,287,356,13.37,1.07,1.58,0.91,2.65,8.00,11.36,14.09,28.1,41.7,69.8
48,"MACARTHUR, CLARKE",Toronto,82,1403:24,21,41,30,62,154,210,292,13.64,0.90,1.75,1.28,2.65,6.58,8.98,12.48,26.6,51.9,78.5
49,"KOIVU, MIKKO",Minnesota,71,1383:41,16,45,21,61,190,257,340,8.42,0.69,1.95,0.91,2.65,8.24,11.14,14.74,20.5,57.7,78.2
50,"TAVARES, JOHN",NY Islanders,79,1520:45,29,38,20,67,243,324,407,11.93,1.14,1.50,0.79,2.64,9.59,12.78,16.06,34.9,45.8,80.7
51,"THORNTON, JOE",San Jose,80,1589:37,21,49,33,70,149,201,261,14.09,0.79,1.85,1.25,2.64,5.62,7.59,9.85,18.8,43.8,62.5
52,"HEJDUK, MILAN",Colorado,71,1272:30,22,34,18,56,170,212,254,12.94,1.04,1.60,0.85,2.64,8.02,10.00,11.98,29.3,45.3,74.7
53,"MALONE, RYAN",Tampa Bay,54,865:22,14,24,9,38,150,175,205,9.33,0.97,1.66,0.62,2.63,10.40,12.13,14.21,20.9,35.8,56.7
54,"JOKINEN, JUSSI",Carolina,69,1184:27,19,33,20,52,136,175,221,13.97,0.96,1.67,1.01,2.63,6.89,8.86,11.20,26.0,45.2,71.2
55,"HALISCHUK, MATT",Nashville,27,273:26,4,8,3,12,29,43,55,13.79,0.88,1.76,0.66,2.63,6.36,9.44,12.07,28.6,57.1,85.7
56,"KREJCI, DAVID",Boston,75,1414:14,13,49,32,62,157,208,266,8.28,0.55,2.08,1.36,2.63,6.66,8.82,11.29,15.1,57.0,72.1
57,"HOSSA, MARIAN",Chicago,65,1280:56,24,32,15,56,204,253,317,11.76,1.12,1.50,0.70,2.62,9.56,11.85,14.85,32.0,42.7,74.7
58,"KESLER, RYAN",Vancouver,82,1679:22,41,32,22,73,260,375,496,15.77,1.46,1.14,0.79,2.61,9.29,13.40,17.72,35.0,27.4,62.4
59,"RIBEIRO, MIKE",Dallas,82,1634:23,19,52,35,71,161,227,286,11.80,0.70,1.91,1.28,2.61,5.91,8.33,10.50,18.8,51.5,70.3
60,"MALKIN, EVGENI",Pittsburgh,43,852:28,15,22,11,37,181,244,320,8.29,1.06,1.55,0.77,2.60,12.74,17.17,22.52,25.4,37.3,62.7
61,"HAVLAT, MARTIN",Minnesota,78,1431:19,22,40,28,62,229,303,369,9.61,0.92,1.68,1.17,2.60,9.60,12.70,15.47,27.8,50.6,78.5
62,"STAAL, ERIC",Carolina,80,1755:36,33,43,26,76,290,415,526,11.38,1.13,1.47,0.89,2.60,9.91,14.18,17.98,28.2,36.8,65.0
63,"RICHARDS, MIKE",Philadelphia,81,1526:18,23,43,26,66,184,280,373,12.50,0.90,1.69,1.02,2.59,7.23,11.01,14.66,26.1,48.9,75.0
64,"DOAN, SHANE",Arizona,72,1388:56,20,40,26,60,220,311,401,9.09,0.86,1.73,1.12,2.59,9.50,13.43,17.32,24.4,48.8,73.2
65,"ERAT, MARTIN",Nashville,64,1157:53,17,33,19,50,135,175,242,12.59,0.88,1.71,0.98,2.59,7.00,9.07,12.54,26.2,50.8,76.9
