RK	SEASON	TEAM	HighRound	GP	TOI 5v5	TOI 5v4	TOI 5v3	TOI 4v5	TOI 4v4	TOI 4v3	TOI 3v5	TOI 3v4	TOI 3v3	5v5 TOI Tot	5v5 GF	5v5 GA	5v5 GF/60	5v5 SF/60	5v5 Sh%	5v5 GA/60	5v5 SA/60	5v5 Sv%	5v5 +-per60	5v4 TOI Tot	5v4 GF	5v4 GA	5v4 GF/60	5v4 SF/60	5v4 Sh%	5v4 GA/60	5v4 SA/60	5v4 Sv%	5v4 +-per60	4v5 TOI Tot	4v5 GF	4v5 GA	4v5 GF/60	4v5 SF/60	4v5 Sh%	4v5 GA/60	4v5 SA/60	4v5 Sv%	4v5 +-per60
1	2010-2011 Season	PIT	Quarter	82	45.8	6.2	0.1	6.2	2.3	0.1	0.2	0.1	0	3757.8	157	139	2.5	31.1	919	2.2	28.3	922	0.3	505.6	44	6	5.2	47.5	890	0.7	7.5	905	4.5	511.6	13	38	1.5	10.3	852	4.5	44.3	899	-2.9
2	2010-2011 Season	NYI		82	46.7	5.9	0.2	5.9	2	0.1	0.2	0.1	0	3831.6	147	188	2.3	28.3	919	2.9	31.7	907	-0.6	480.9	43	7	5.4	47.8	888	0.9	9.1	904	4.5	482.1	14	42	1.7	11.8	853	5.2	49.3	894	-3.5
3	2010-2011 Season	NYR	Quarter	82	47.8	5.8	0.2	5.1	1.7	0.1	0.1	0	0	3921.7	157	144	2.4	29.2	918	2.2	29.2	925	0.2	477.4	44	5	5.5	48.6	886	0.6	9.6	934	4.9	419.7	11	37	1.6	8.7	820	5.3	49	892	-3.7
4	2010-2011 Season	PHI	Semi	82	46.7	5.8	0.1	6	1.7	0.1	0.2	0.1	0.1	3831.6	185	150	2.9	31.6	908	2.3	30.3	923	0.5	476.8	41	4	5.2	46.1	888	0.5	8.2	938	4.7	495.3	13	44	1.6	11.6	865	5.3	42.9	876	-3.8
5	2010-2011 Season	WSH	Semi	82	47.8	5.1	0.2	5.9	1.8	0.1	0.1	0.1	0	3917.8	157	138	2.4	29.8	919	2.1	28.2	925	0.3	415.2	39	5	5.6	59.1	905	0.7	8.5	915	4.9	485.4	7	38	0.9	10.4	917	4.7	47	900	-3.8
6	2010-2011 Season	FLA		82	48.4	5.3	0.2	5.4	1.4	0.1	0.2	0.1	0	3968.9	146	172	2.2	30.3	927	2.6	30.8	915	-0.4	436.2	26	5	3.6	45.9	922	0.7	12.5	945	2.9	445.7	4	33	0.5	7	923	4.4	52.2	915	-3.9
7	2010-2011 Season	VAN	Final	82	47.3	5.4	0.1	6	1.5	0.1	0.2	0.2	0	3881.5	175	128	2.7	31.3	913	2	29.3	932	0.7	444.4	69	2	9.3	56	834	0.3	7.7	965	9	494.1	6	39	0.7	9.4	922	4.7	50.2	906	-4
8	2010-2011 Season	L.A	Quarter	82	47.6	5.9	0.1	5.3	1.7	0.1	0.1	0.1	0	3903.4	154	144	2.4	27.9	915	2.2	27.9	921	0.2	484.2	43	6	5.3	50.4	894	0.7	6.1	878	4.6	436.3	4	34	0.6	7.3	925	4.7	48.1	903	-4.1
9	2010-2011 Season	MTL	Quarter	82	46.5	5.4	0.1	6.3	1.8	0.1	0.2	0.1	0	3816.4	141	143	2.2	31.6	930	2.2	30	925	0	443.7	50	6	6.8	53.6	874	0.8	11	926	6	518.7	5	41	0.6	11.1	948	4.7	48.5	902	-4.2
10	2010-2011 Season	NSH	Semi	82	48.2	5.2	0.1	5.5	1.7	0.1	0.1	0.1	0	3950.3	163	138	2.5	28.9	914	2.1	30.5	931	0.4	429.9	36	2	5	46.6	892	0.3	5.7	951	4.7	447	5	36	0.7	8.6	922	4.8	47.5	898	-4.2
11	2010-2011 Season	BOS	Champ	82	48.5	5.3	0.1	5.1	1.3	0	0.2	0.1	0	3981.1	188	133	2.8	32.4	913	2	32.1	937	0.8	437.8	36	5	4.9	50.7	903	0.7	11.8	942	4.2	419.4	11	41	1.6	12.7	876	5.9	52.9	889	-4.3
12	2010-2011 Season	OTT		82	47.7	5.1	0.1	5.9	1.5	0	0.1	0.1	0	3915.4	135	181	2.1	29.3	929	2.8	29.5	906	-0.7	418.7	41	4	5.9	46.1	873	0.6	9.5	939	5.3	485.5	6	42	0.7	8.4	912	5.2	55.2	906	-4.4
13	2010-2011 Season	T.B	Conference	82	46.3	6.2	0.2	5.9	2.1	0.1	0.2	0.1	0	3799.1	166	160	2.6	31.5	917	2.5	27.3	908	0.1	511.7	52	16	6.1	50	878	1.9	11.8	842	4.2	480.2	1	40	0.1	6.6	981	5	46	891	-4.9
14	2010-2011 Season	N.J		82	49.4	4.8	0.1	4.9	1.2	0.1	0.1	0.1	0	4050.1	127	155	1.9	28	933	2.3	25.8	911	-0.4	391.1	27	7	4.1	49.6	916	1.1	6.8	841	3.1	404.4	3	36	0.4	7.4	940	5.3	43	876	-4.9
15	2010-2011 Season	MIN		82	47.1	5.5	0.1	5.9	1.9	0.1	0.2	0	0	3865.8	136	160	2.1	25.2	916	2.5	31.5	921	-0.4	448.4	47	7	6.3	48	869	0.9	10.4	910	5.4	479.7	7	47	0.9	6.9	873	5.9	52.4	888	-5
16	2010-2011 Season	BUF	Quarter	82	47.6	5.3	0.1	5.6	1.9	0.1	0.2	0.1	0	3901.2	171	152	2.6	32.3	918	2.3	29.6	921	0.3	431.5	48	13	6.7	55.3	879	1.8	9.6	812	4.9	455.8	2	40	0.3	7.5	965	5.3	50.9	897	-5
17	2010-2011 Season	DAL		82	47.2	6.1	0.1	5.5	1.8	0.1	0.1	0.1	0	3868.2	152	152	2.4	26	909	2.4	29.8	921	0	497.1	50	15	6	54	888	1.8	10.7	831	4.2	454.6	10	48	1.3	8.6	846	6.3	51.3	877	-5
18	2010-2011 Season	DET	Semi	82	47.6	5.6	0.2	5.7	1.6	0.1	0.1	0.1	0	3904.5	174	172	2.7	32.7	918	2.6	30.3	913	0	456.1	61	7	8	57.4	860	0.9	9.1	899	7.1	468.8	5	46	0.6	8.2	922	5.9	49.3	881	-5.2
19	2010-2011 Season	STL		82	48.1	5.4	0.2	5.2	1.5	0.1	0.2	0.1	0	3948.1	172	168	2.6	29.8	912	2.6	27.2	906	0.1	444.3	47	1	6.3	47.5	866	0.1	5.8	977	6.2	428.1	7	45	1	8.7	887	6.3	46.8	865	-5.3
20	2010-2011 Season	CGY		82	47.3	6.2	0.1	5.5	1.8	0.1	0.1	0.1	0	3881.3	168	159	2.6	29.8	913	2.5	27.5	911	0.1	504.4	54	9	6.4	48.2	867	1.1	9.9	892	5.4	449.8	7	49	0.9	8	883	6.5	49.6	868	-5.6
21	2010-2011 Season	CAR		82	46.7	6.5	0.3	5.1	2	0.1	0.1	0	0	3831.1	159	166	2.5	29.9	917	2.6	32.8	921	-0.1	533.9	49	6	5.5	46.2	881	0.7	8.8	923	4.8	420.5	7	46	1	9.8	899	6.6	57.5	886	-5.6
22	2010-2011 Season	ANA	Quarter	82	47.6	5.3	0.1	5.8	1.7	0.1	0.2	0.1	0	3904.8	146	163	2.2	26.8	916	2.5	31.4	920	-0.3	434.3	59	7	8.2	59.4	863	1	8.2	881	7.2	477.6	7	54	0.9	6.8	870	6.8	56.3	879	-5.9
23	2010-2011 Season	S.J	Conference	82	48.3	5.3	0.2	5.2	1.7	0.1	0.1	0.1	0	3961.4	161	138	2.4	32	924	2.1	28.1	926	0.3	433.8	60	7	8.3	72.6	886	1	7.5	870	7.3	422.8	6	50	0.9	9.6	912	7.1	52.5	865	-6.2
24	2010-2011 Season	CHI	Quarter	82	49	5.3	0.1	5	1.4	0	0.1	0.1	0	4014.2	178	157	2.7	31.7	916	2.3	27.5	915	0.3	431.2	60	4	8.3	50.8	836	0.6	9.9	944	7.8	408.6	6	49	0.9	8.5	897	7.2	53.6	866	-6.3
25	2010-2011 Season	CBJ		82	46.6	5.7	0.2	5.9	2.3	0.1	0.2	0.1	0	3823.9	152	167	2.4	29.5	919	2.6	28.9	909	-0.2	465.6	37	11	4.8	53.7	911	1.4	7.5	810	3.4	487.8	6	57	0.7	7.6	903	7	53.4	869	-6.3
26	2010-2011 Season	ATL		82	48.2	5.4	0.1	5.1	1.9	0.1	0.2	0.1	0	3955.9	148	184	2.2	30.4	926	2.8	31.4	911	-0.5	439.8	45	10	6.1	49.4	876	1.4	10.9	875	4.8	417.1	6	55	0.9	11.7	926	7.9	52.5	849	-7
27	2010-2011 Season	PHX	Quarter	82	47.7	5.6	0.1	5.3	1.7	0.1	0.2	0.2	0	3910.7	172	139	2.6	30.3	913	2.1	30.9	931	0.5	456.2	41	6	5.4	47.5	886	0.8	9.5	917	4.6	437.5	5	56	0.7	7	902	7.7	61.4	875	-7
28	2010-2011 Season	TOR		82	47.2	6.4	0.2	5.3	1.5	0.1	0.1	0.1	0	3872.4	153	170	2.4	27.9	915	2.6	31.4	916	-0.3	523.6	47	8	5.4	44.1	878	0.9	9.5	904	4.5	433.4	4	57	0.6	10.1	945	7.9	47.8	835	-7.3
29	2010-2011 Season	COL		82	47.7	5.2	0.1	5.8	1.6	0.1	0.1	0.1	0	3913.5	158	190	2.4	29	916	2.9	31.1	906	-0.5	422.5	40	11	5.7	48.3	882	1.6	8.5	817	4.1	478.6	8	67	1	10.2	901	8.4	51.5	837	-7.4
30	2010-2011 Season	EDM		82	46.8	5.7	0.2	6	1.7	0.1	0.1	0.2	0	3836.4	133	181	2.1	26.1	920	2.8	30.5	907	-0.8	464.6	41	2	5.3	41.8	873	0.3	9	971	5	495.1	8	70	1	9.9	902	8.5	56.2	849	-7.5
