RK	SEASON	TEAM	HighRound	GP	TOI 5v5	TOI 5v4	TOI 5v3	TOI 4v5	TOI 4v4	TOI 4v3	TOI 3v5	TOI 3v4	TOI 3v3	5v5 TOI Tot	5v5 GF	5v5 GA	5v5 GF/60	5v5 SF/60	5v5 Sh%	5v5 GA/60	5v5 SA/60	5v5 Sv%	5v5 +-per60	5v4 TOI Tot	5v4 GF	5v4 GA	5v4 GF/60	5v4 SF/60	5v4 Sh%	5v4 GA/60	5v4 SA/60	5v4 Sv%	5v4 +-per60	4v5 TOI Tot	4v5 GF	4v5 GA	4v5 GF/60	4v5 SF/60	4v5 Sh%	4v5 GA/60	4v5 SA/60	4v5 Sv%	4v5 +-per60	
20	2011-2012 Season	BUF		82	48.9	4.9	0.1	4.9	1.9	0.3	0.1	0.3	0	4008.4	157	160	2.4	28.3	917	2.4	30.2	921	0	402.9	39	7	5.8	52.1	889	1	11.3	908	4.8	405.8	5	43	0.7	8	907	6.4	54.9	884	-5.6
21	2011-2012 Season	DAL		82	48	4.8	0.1	5.7	1.9	0.1	0.1	0.1	0	3934.1	158	160	2.4	28.9	917	2.4	29.6	918	0	397.6	31	3	4.7	39.8	883	0.5	7.8	942	4.2	470	5	49	0.6	8.2	922	6.3	54.6	886	-5.6
22	2011-2012 Season	WSH	Semi	82	49	4.7	0.1	5.2	1.5	0.1	0.1	0.1	0	4020.5	161	158	2.4	27.9	914	2.4	29.3	920	0	386.6	36	10	5.6	47.5	882	1.6	10.4	851	4	425	3	46	0.4	6.2	932	6.5	49.4	869	-6.1
23	2011-2012 Season	DET	Quarter	82	47.8	5.7	0.1	5.3	1.7	0.1	0.1	0	0	3922.5	186	133	2.8	31.8	910	2	26.3	923	0.8	470.4	45	11	5.7	50	885	1.4	8	825	4.3	437	2	47	0.3	8.2	967	6.5	46.5	861	-6.2
24	2011-2012 Season	CHI	Quarter	82	48.9	5.6	0.1	4.6	1.8	0.1	0	0	0	4013.8	186	171	2.8	31.2	911	2.6	27.8	908	0.2	458.4	37	3	4.8	45.8	894	0.4	5.5	929	4.5	377.2	7	48	1.1	8.1	863	7.6	56	864	-6.5
25	2011-2012 Season	ATL		82	48.5	4.8	0.2	5.5	1.6	0	0.2	0.1	0	3972.9	162	169	2.4	30.1	919	2.6	29.1	912	-0.1	397.5	41	8	6.2	45.6	864	1.2	8.8	862	5	449.6	3	52	0.4	8.7	954	6.9	51.4	865	-6.5
26	2011-2012 Season	TOR		82	49.2	5.1	0.1	4.6	1.6	0.1	0.1	0.1	0	4033.2	161	191	2.4	27.8	914	2.8	30.1	906	-0.4	416	43	5	6.2	45.1	863	0.7	10	928	5.5	374.6	5	46	0.8	8.5	906	7.4	51.1	856	-6.6
27	2011-2012 Season	FLA	Quarter	82	48.9	5.6	0.1	4.5	1.9	0.1	0.1	0	0	4008.6	138	149	2.1	28.6	928	2.2	29.8	925	-0.2	461	48	6	6.2	48.8	872	0.8	7	889	5.5	370.5	3	44	0.5	8.1	940	7.1	54.3	869	-6.6
28	2011-2012 Season	S.J	Quarter	82	49.4	5.3	0.1	4.2	1.9	0.1	0.1	0.1	0	4050.9	153	140	2.3	32.3	930	2.1	27.9	926	0.2	433.1	53	4	7.3	62.9	883	0.6	7.6	927	6.8	347.6	3	44	0.5	5.7	909	7.6	50.6	850	-7.1
29	2011-2012 Season	T.B		82	48.4	5.1	0.1	5.3	1.7	0.1	0.1	0.1	0	3965.8	177	196	2.7	27	901	3	29.3	899	-0.3	417.4	37	12	5.3	41.5	872	1.7	11.1	844	3.6	432.2	2	54	0.3	7.1	961	7.5	53.4	860	-7.2
30	2011-2012 Season	CBJ		82	47.2	6.3	0.1	5.1	1.6	0.1	0.1	0.1	0	3869.4	140	176	2.2	28.2	923	2.7	31.2	913	-0.6	519	43	8	5	55.4	910	0.9	7.4	875	4	418.2	7	63	1	9	889	9	52.2	827	-8
