RK	SEASON	TEAM	HighRound	GP	TOI 5v5	TOI 5v4	TOI 5v3	TOI 4v5	TOI 4v4	TOI 4v3	TOI 3v5	TOI 3v4	TOI 3v3	5v5 TOI Tot	5v5 GF	5v5 GA	5v5 GF/60	5v5 SF/60	5v5 Sh%	5v5 GA/60	5v5 SA/60	5v5 Sv%	5v5 +-per60	5v4 TOI Tot	5v4 GF	5v4 GA	5v4 GF/60	5v4 SF/60	5v4 Sh%	5v4 GA/60	5v4 SA/60	5v4 Sv%	5v4 +-per60	4v5 TOI Tot	4v5 GF	4v5 GA	4v5 GF/60	4v5 SF/60	4v5 Sh%	4v5 GA/60	4v5 SA/60	4v5 Sv%	4v5 +-per60
15	2013-2014 Season	T.B	Quarter	82	48.3	5.3	0.1	5.4	1.8	0.1	0.1	0	0	3960.3	164	144	2.5	30.1	918	2.2	28	922	0.3	431.4	46	7	6.4	42	848	1	7.5	870	5.4	445.4	10	49	1.3	7.9	831	6.6	54.8	880	-5.3	
16	2013-2014 Season	WSH		82	48	5.3	0.1	5.5	2.2	0.1	0.1	0.1	0	3935.7	143	160	2.2	27.3	920	2.4	31.6	923	-0.3	430.9	66	10	9.2	61.7	851	1.4	10.4	867	7.8	450.7	5	45	0.7	7.5	911	6	63.2	905	-5.3
17	2013-2014 Season	DAL	Quarter	82	47.9	5.8	0.1	4.8	1.9	0.1	0.2	0	0	3925.4	170	160	2.6	30.4	914	2.4	29.2	916	0.2	477.5	45	5	5.7	54.9	897	0.6	10.2	938	5	395	8	43	1.2	9.9	877	6.5	55.3	882	-5.3
18	2013-2014 Season	EDM		82	47.6	5.3	0.2	5.4	1.8	0.1	0.1	0.1	0	3904.5	136	193	2.1	26.1	920	3	32.2	908	-0.9	438.1	41	13	5.6	47	880	1.8	10.1	824	3.8	442.9	4	43	0.5	6.8	920	5.8	55.7	895	-5.3
19	2013-2014 Season	COL	Quarter	82	49.1	4.9	0.2	5	1.5	0.1	0.1	0.1	0	4027.8	183	160	2.7	29	906	2.4	31.7	925	0.3	404.2	43	1	6.4	48.1	867	0.1	7.7	981	6.2	407.9	3	40	0.4	7.4	940	5.9	57.2	897	-5.4
20	2013-2014 Season	BUF		82	48.3	5.2	0.1	5.6	1.5	0.1	0.1	0.1	0	3957.5	105	181	1.6	25.9	938	2.7	33.3	918	-1.2	426.7	36	5	5.1	46.3	891	0.7	8.6	918	4.4	457.6	5	46	0.7	6.3	896	6	59.4	898	-5.4
21	2013-2014 Season	DET	Quarter	82	47.7	5.4	0.2	5.7	2	0.1	0.2	0.1	0	3907.6	160	157	2.5	29.2	916	2.4	28.6	916	0	440.6	45	5	6.1	52.6	883	0.7	6.9	902	5.4	463.9	3	45	0.4	7.4	947	5.8	48.9	881	-5.4
22	2013-2014 Season	L.A	Champ	82	47.2	5.8	0.1	5.7	1.8	0.2	0.1	0.2	0	3868.8	142	109	2.2	31.5	930	1.7	25.2	933	0.5	473.6	39	6	4.9	51.8	905	0.8	7.1	893	4.2	470.1	5	48	0.6	7.4	914	6.1	49.3	876	-5.5
23	2013-2014 Season	ATL		82	48.1	5	0.1	5.5	2.1	0.1	0.1	0.1	0	3941.7	164	169	2.5	30.2	917	2.6	29.6	913	-0.1	413.2	34	6	4.9	47.8	897	0.9	7.7	887	4.1	450.1	5	48	0.7	9.6	931	6.4	48.4	868	-5.7
24	2013-2014 Season	TOR		82	48.6	5.1	0.1	5.2	1.9	0.1	0.1	0.1	0	3983.5	161	177	2.4	27	910	2.7	35	924	-0.2	417.9	46	11	6.6	52.1	873	1.6	11.8	866	5	423.6	7	49	1	6.1	837	6.9	58.8	882	-5.9
25	2013-2014 Season	OTT		82	47.1	5.3	0	5.9	2.3	0.1	0.2	0.2	0	3858.4	171	178	2.7	33.2	920	2.8	33.8	918	-0.1	431.1	45	10	6.3	50.7	876	1.4	11.6	880	4.9	486.8	5	55	0.6	10.7	943	6.8	50.4	866	-6.2
26	2013-2014 Season	MIN	Semi	82	48.7	5.1	0.1	5.1	2	0.1	0.1	0.1	0	3997.3	145	130	2.2	25.7	915	2	26.6	927	0.2	416.1	43	8	6.2	47.4	869	1.2	7.2	840	5	421.5	4	50	0.6	6.5	913	7.1	50.4	859	-6.5
27	2013-2014 Season	NSH		82	49.6	4.9	0.1	4.8	1.4	0	0.1	0	0	4066	161	181	2.4	28.7	917	2.7	28.9	908	-0.3	399.2	41	0	6.2	47.5	870	0	6.2	1000	6.2	392.1	2	46	0.3	5.5	944	7	47.9	853	-6.7
28	2013-2014 Season	NYI		82	48.2	5.3	0.2	5.2	2	0.1	0	0.1	0	3956.5	152	186	2.3	29.9	923	2.8	29.8	905	-0.5	434.7	43	7	5.9	50.5	883	1	6.6	854	5	424.2	8	57	1.1	11.3	900	8.1	48.4	833	-6.9
29	2013-2014 Season	PHX		82	48.4	5.3	0.1	5	1.9	0.1	0.1	0.1	0	3971.5	145	153	2.2	29.4	925	2.3	29.7	922	-0.1	436.9	53	5	7.3	52.9	862	0.7	8.4	918	6.6	412	3	51	0.4	7.7	943	7.4	57.1	870	-7
30	2013-2014 Season	FLA		82	48.3	5.7	0.1	4.8	1.6	0.1	0.2	0.1	0	3961.9	150	188	2.3	30.2	925	2.8	30	905	-0.6	468.5	24	6	3.1	43	929	0.8	8.6	910	2.3	397.5	8	57	1.2	9.1	867	8.6	59.6	856	-7.4
