RK	SEASON	TEAM	HighRound	GP	TOI 5v5	TOI 5v4	TOI 5v3	TOI 4v5	TOI 4v4	TOI 4v3	TOI 3v5	TOI 3v4	TOI 3v3	5v5 TOI Tot	5v5 GF	5v5 GA	5v5 GF/60	5v5 SF/60	5v5 Sh%	5v5 GA/60	5v5 SA/60	5v5 Sv%	5v5 +-per60	5v4 TOI Tot	5v4 GF	5v4 GA	5v4 GF/60	5v4 SF/60	5v4 Sh%	5v4 GA/60	5v4 SA/60	5v4 Sv%	5v4 +-per60	4v5 TOI Tot	4v5 GF	4v5 GA	4v5 GF/60	4v5 SF/60	4v5 Sh%	4v5 GA/60	4v5 SA/60	4v5 Sv%	4v5 +-per60
1	2013-2014 Season	N.J		82	48.8	4.9	0.1	5.5	1.6	0	0.1	0.1	0	4005.3	133	147	2	26.5	925	2.2	24	908	-0.2	401.6	41	4	6.1	43.5	859	0.6	9.6	938	5.5	452.4	9	34	1.2	8	850	4.5	44.8	899	-3.3
2	2013-2014 Season	NYR	Final	82	48.8	5.2	0.1	4.5	1.7	0.1	0.1	0.1	0	4000.4	148	139	2.2	32.4	932	2.1	29	928	0.1	423	42	7	6	55.7	893	1	9.2	892	5	371.3	10	31	1.6	8.7	815	5	50.6	901	-3.4
3	2013-2014 Season	S.J	Quarter	82	49	5.5	0.1	4.3	2.1	0.1	0	0.1	0	4017.6	176	150	2.6	32.9	920	2.2	27.6	919	0.4	452	47	6	6.2	63.7	902	0.8	9.4	915	5.4	355.2	8	31	1.4	9.5	857	5.2	44.1	881	-3.9
4	2013-2014 Season	STL	Quarter	82	47.4	5.3	0.1	5.8	2.1	0.1	0.1	0.1	0	3884.3	168	134	2.6	29	911	2.1	25.8	920	0.5	437.5	50	6	6.9	47.2	855	0.8	6.4	872	6	475.6	6	38	0.8	8.6	912	4.8	42.6	888	-4
5	2013-2014 Season	PHI	Quarter	82	46.5	5.7	0.2	6.4	1.8	0.1	0.2	0	0	3816.8	161	165	2.5	29.2	913	2.6	31.1	916	-0.1	463.6	56	11	7.2	54.6	867	1.4	8.9	841	5.8	527.7	8	43	0.9	11.1	918	4.9	42.4	885	-4
6	2013-2014 Season	MTL	Conference	82	47.2	5.6	0.1	5.8	1.8	0.1	0.1	0.1	0	3873.3	144	143	2.2	27.7	919	2.2	30.6	928	0	462.9	43	8	5.6	48.2	884	1	10.4	900	4.5	479.4	5	39	0.6	9.5	934	4.9	47.7	898	-4.3
7	2013-2014 Season	CAR		82	48.7	5.3	0.2	4.5	1.7	0.1	0.1	0.1	0	3994.8	147	165	2.2	30.3	927	2.5	31.4	921	-0.3	432.2	33	8	4.6	51.2	911	1.1	7.8	857	3.5	370.3	11	39	1.8	9.1	804	6.3	49.4	872	-4.5
8	2013-2014 Season	VAN		82	48.1	5.1	0	5.4	2.1	0.1	0.2	0.1	0	3944.3	140	158	2.1	29.7	928	2.4	28.6	916	-0.3	417.8	35	3	5	57	912	0.4	6.7	936	4.6	439.4	6	39	0.8	7.8	895	5.3	39.5	865	-4.5
9	2013-2014 Season	PIT	Semi	82	48.3	5.3	0.1	5	1.9	0.1	0.1	0.1	0	3956.6	165	153	2.5	28.5	912	2.3	27.5	916	0.2	432.5	60	6	8.3	61	864	0.8	8	897	7.5	413.3	4	35	0.6	5.1	886	5.1	57.9	912	-4.5
10	2013-2014 Season	CGY		82	49.4	4.7	0.1	4.7	1.7	0.1	0.1	0	0	4054.2	143	182	2.1	26.1	919	2.7	28.3	905	-0.6	388	37	7	5.7	45.5	874	1.1	7.7	860	4.6	383.8	12	41	1.9	9.4	800	6.4	48	866	-4.5
11	2013-2014 Season	ANA	Semi	82	47.9	5.4	0.2	5.3	1.8	0.1	0.1	0.1	0	3927.2	200	142	3.1	30.4	900	2.2	28.4	924	0.9	444.4	38	8	5.1	50.6	899	1.1	6.6	837	4.1	433.3	10	44	1.4	9.6	855	6.1	50	878	-4.7
12	2013-2014 Season	BOS	Semi	82	49.4	4.4	0.1	5.1	1.4	0	0.1	0.1	0	4052	193	119	2.9	31.3	909	1.8	28.1	937	1.1	360.1	50	6	8.3	57.1	854	1	8.8	887	7.3	420.9	8	41	1.1	10.8	895	5.8	49.6	882	-4.7
13	2013-2014 Season	CHI	Conference	82	49.3	4.9	0.2	4.7	1.7	0	0.1	0	0	4044.9	195	153	2.9	32.9	912	2.3	26.2	913	0.6	403.8	45	6	6.7	50.8	868	0.9	8.5	895	5.8	388.7	9	40	1.4	7.9	824	6.2	49.5	875	-4.8
14	2013-2014 Season	CBJ	Quarter	82	47.7	5.5	0.1	5.6	1.6	0.1	0.1	0.1	0	3908.5	159	148	2.4	28.7	915	2.3	30	924	0.2	451	47	8	6.3	51.8	879	1.1	7.3	855	5.2	458.1	8	47	1	9.7	892	6.2	56.6	891	-5.1
